CPU: 0.10701110971191945  Memory: 0.07876122 
CPU: 0.10701110971191945  Memory: 0.07876122 
CPU: 0.10701110971191945  Memory: 0.07876122 
CPU: 0.10701110971191945  Memory: 0.07880916 
CPU: 0.10701110971191945  Memory: 0.07880916 
CPU: 0.10701110971191945  Memory: 0.078833126 
CPU: 0.10701110971191945  Memory: 0.078833126 
CPU: 0.10701110971191945  Memory: 0.078929 
CPU: 0.10701110971191945  Memory: 0.078929 
CPU: 0.10701110971191945  Memory: 0.07897694 
CPU: 0.10701110971191945  Memory: 0.079000905 
CPU: 0.10701110971191945  Memory: 0.07904884 
CPU: 0.10701110971191945  Memory: 0.07904884 
CPU: 0.10701110971191945  Memory: 0.07904884 
CPU: 0.10701110971191945  Memory: 0.07907281 
CPU: 0.10701110971191945  Memory: 0.07919265 
CPU: 0.10701110971191945  Memory: 0.07919265 
CPU: 0.10701110971191945  Memory: 0.0793125 
CPU: 0.10701110971191945  Memory: 0.07933647 
CPU: 0.10701110971191945  Memory: 0.07936044 
CPU: 0.10701110971191945  Memory: 0.07936044 
CPU: 0.10701110971191945  Memory: 0.07938441 
CPU: 0.10701110971191945  Memory: 0.07938441 
CPU: 0.10701110971191945  Memory: 0.07940838 
CPU: 0.10701110971191945  Memory: 0.079432346 
CPU: 0.10701110971191945  Memory: 0.079456314 
CPU: 0.10701110971191945  Memory: 0.07948028 
CPU: 0.10701110971191945  Memory: 0.07948028 
CPU: 0.10701110971191945  Memory: 0.07948028 
CPU: 0.10701110971191945  Memory: 0.07955219 
CPU: 0.10701110971191945  Memory: 0.07957616 
CPU: 0.10701110971191945  Memory: 0.07957616 
CPU: 0.10701110971191945  Memory: 0.079600126 
CPU: 0.10701110971191945  Memory: 0.07964806 
CPU: 0.10700736771579702  Memory: 0.07967203 
CPU: 0.10700736771579702  Memory: 0.07974394 
CPU: 0.10700736771579702  Memory: 0.07974394 
CPU: 0.10700736771579702  Memory: 0.07979187 
CPU: 0.10700736771579702  Memory: 0.07979187 
CPU: 0.10700736771579702  Memory: 0.07986378 
CPU: 0.10700736771579702  Memory: 0.07988775 
CPU: 0.10700736771579702  Memory: 0.07988775 
CPU: 0.10700736771579702  Memory: 0.07988775 
CPU: 0.10700736771579702  Memory: 0.079935685 
CPU: 0.10700736771579702  Memory: 0.079935685 
CPU: 0.10700736771579702  Memory: 0.07995965 
CPU: 0.10700736771579702  Memory: 0.07998362 
CPU: 0.10700736771579702  Memory: 0.08000759 
CPU: 0.10700736771579702  Memory: 0.08003156 
CPU: 0.10700736771579702  Memory: 0.08010347 
CPU: 0.10700736771579702  Memory: 0.08012744 
CPU: 0.10700736771579702  Memory: 0.08015141 
CPU: 0.10700736771579702  Memory: 0.08017538 
CPU: 0.10700736771579702  Memory: 0.08017538 
CPU: 0.10700736771579702  Memory: 0.080199346 
CPU: 0.10700736771579702  Memory: 0.080223314 
CPU: 0.10700736771579702  Memory: 0.08027125 
CPU: 0.10700736771579702  Memory: 0.08027125 
CPU: 0.10700736771579702  Memory: 0.08029522 
CPU: 0.10700736771579702  Memory: 0.08034316 
CPU: 0.10700736771579702  Memory: 0.080367126 
CPU: 0.10700736771579702  Memory: 0.080367126 
CPU: 0.10700736771579702  Memory: 0.08041506 
CPU: 0.10700736771579702  Memory: 0.080463 
CPU: 0.10700736771579702  Memory: 0.08048697 
CPU: 0.10700736771579702  Memory: 0.08051094 
CPU: 0.10700736771579702  Memory: 0.08051094 
CPU: 0.10700736771579702  Memory: 0.08055887 
CPU: 0.10700736771579702  Memory: 0.08058284 
CPU: 0.10700736771579702  Memory: 0.08060681 
CPU: 0.10700736771579702  Memory: 0.08060681 
CPU: 0.10700736771579702  Memory: 0.08063078 
CPU: 0.10700736771579702  Memory: 0.08065475 
CPU: 0.10700736771579702  Memory: 0.08067872 
CPU: 0.10700736771579702  Memory: 0.08072665 
CPU: 0.10700736771579702  Memory: 0.08072665 
CPU: 0.10700736771579702  Memory: 0.08075062 
CPU: 0.10700736771579702  Memory: 0.08077459 
CPU: 0.10700736771579702  Memory: 0.08079856 
CPU: 0.10700736771579702  Memory: 0.08079856 
CPU: 0.10700736771579702  Memory: 0.08079856 
CPU: 0.10700736771579702  Memory: 0.080846496 
CPU: 0.10700736771579702  Memory: 0.080846496 
